epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,643.713,1.25158,1.58983,1.03091,0.55638,0.39255,0.42658,0.29275,1.25194,1.92995,1.09363,1.30312e-05,1.30312e-05,1.30312e-05
110,649.91,1.20753,1.51404,1.03315,0.55409,0.4012,0.43244,0.29591,1.25306,1.91846,1.09378,1.28926e-05,1.28926e-05,1.28926e-05
111,655.161,1.22629,1.62022,1.01154,0.55265,0.40372,0.43014,0.29531,1.24993,1.91415,1.09283,1.2754e-05,1.2754e-05,1.2754e-05
112,661.069,1.20209,1.54376,1.03469,0.55616,0.40525,0.43161,0.29536,1.24086,1.9029,1.08921,1.26154e-05,1.26154e-05,1.26154e-05
113,666.139,1.20287,1.52954,1.03056,0.57208,0.39362,0.43127,0.29584,1.23586,1.89588,1.088,1.24768e-05,1.24768e-05,1.24768e-05
114,671.241,1.26595,1.57475,1.02504,0.54922,0.4157,0.43225,0.29692,1.23318,1.89158,1.08695,1.23382e-05,1.23382e-05,1.23382e-05
115,677.178,1.23358,1.58131,1.04194,0.5437,0.42516,0.43653,0.29939,1.23425,1.88188,1.08788,1.21996e-05,1.21996e-05,1.21996e-05
116,682.438,1.24791,1.53543,1.04393,0.55089,0.42734,0.43809,0.30011,1.23951,1.86826,1.0901,1.2061e-05,1.2061e-05,1.2061e-05
117,688.295,1.24296,1.5797,1.02073,0.55182,0.42879,0.44155,0.30176,1.24318,1.86919,1.09161,1.19224e-05,1.19224e-05,1.19224e-05
118,694.296,1.20433,1.54503,1.01267,0.55359,0.42316,0.44412,0.30144,1.24652,1.86858,1.09434,1.17838e-05,1.17838e-05,1.17838e-05
119,700.515,1.2116,1.48137,1.02375,0.55196,0.4227,0.44708,0.3045,1.24693,1.86815,1.09397,1.16452e-05,1.16452e-05,1.16452e-05
120,706.687,1.27539,1.63544,1.0315,0.55629,0.41908,0.4489,0.30734,1.24358,1.86703,1.09101,1.15066e-05,1.15066e-05,1.15066e-05
121,711.743,1.22558,1.51799,1.01917,0.5588,0.41953,0.44756,0.30698,1.24355,1.86614,1.08979,1.1368e-05,1.1368e-05,1.1368e-05
122,718.094,1.19785,1.49288,1.0196,0.55537,0.42415,0.45125,0.31001,1.24364,1.86101,1.08943,1.12294e-05,1.12294e-05,1.12294e-05
123,723.151,1.2005,1.47176,1.03699,0.55571,0.42503,0.45313,0.31031,1.24081,1.84968,1.08919,1.10908e-05,1.10908e-05,1.10908e-05
124,729.326,1.24445,1.58347,1.02371,0.55649,0.42347,0.45573,0.31339,1.23921,1.84107,1.08926,1.09522e-05,1.09522e-05,1.09522e-05
