epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1528.89,0.86027,0.60293,1.04485,0.88028,0.88173,0.92047,0.74159,0.79842,0.435,1.03824,8.72447e-06,8.72447e-06,8.72447e-06
115,1541.86,0.86153,0.60606,1.02944,0.88706,0.8793,0.91919,0.74472,0.79584,0.43177,1.03592,8.50263e-06,8.50263e-06,8.50263e-06
116,1554.75,0.84661,0.59743,1.03288,0.88072,0.88447,0.91965,0.74402,0.79864,0.4329,1.03777,8.28251e-06,8.28251e-06,8.28251e-06
117,1567.66,0.83723,0.59115,1.02643,0.87873,0.88094,0.91775,0.74481,0.79051,0.43042,1.03535,8.06418e-06,8.06418e-06,8.06418e-06
118,1580.51,0.84663,0.59231,1.0349,0.88497,0.87678,0.91896,0.74648,0.78739,0.43,1.03348,7.84769e-06,7.84769e-06,7.84769e-06
119,1593.98,0.85118,0.59158,1.02742,0.91551,0.85625,0.92264,0.75075,0.78185,0.42919,1.03083,7.63312e-06,7.63312e-06,7.63312e-06
120,1607.44,0.84895,0.59349,1.0286,0.90907,0.86766,0.92438,0.74998,0.78034,0.42744,1.03006,7.42054e-06,7.42054e-06,7.42054e-06
121,1620.39,0.84774,0.5818,1.03851,0.90209,0.87274,0.92191,0.74662,0.77964,0.42973,1.02917,7.21e-06,7.21e-06,7.21e-06
122,1633.3,0.84529,0.58988,1.03553,0.90815,0.87268,0.92193,0.74764,0.77748,0.42868,1.02737,7.00157e-06,7.00157e-06,7.00157e-06
123,1646.19,0.84006,0.58308,1.03423,0.90135,0.87283,0.92264,0.74478,0.78508,0.42663,1.03126,6.79532e-06,6.79532e-06,6.79532e-06
124,1659.08,0.8554,0.59352,1.03386,0.90168,0.86748,0.92503,0.75128,0.78255,0.42649,1.03025,6.5913e-06,6.5913e-06,6.5913e-06
125,1672.5,0.84308,0.58676,1.03449,0.8971,0.87319,0.92382,0.74126,0.80278,0.43145,1.03887,6.38959e-06,6.38959e-06,6.38959e-06
126,1685.33,0.83545,0.59308,1.0296,0.90653,0.873,0.92907,0.75111,0.77953,0.42586,1.02827,6.19023e-06,6.19023e-06,6.19023e-06
127,1698.19,0.83319,0.58494,1.0267,0.90566,0.87512,0.92777,0.75312,0.77634,0.42247,1.02571,5.9933e-06,5.9933e-06,5.9933e-06
128,1711.6,0.8445,0.5804,1.02972,0.89752,0.87188,0.92961,0.75185,0.78982,0.42552,1.03146,5.79884e-06,5.79884e-06,5.79884e-06
129,1724.56,0.83613,0.5965,1.01907,0.90987,0.86535,0.92622,0.7545,0.77765,0.42167,1.02677,5.60693e-06,5.60693e-06,5.60693e-06
130,1737.91,0.84363,0.57435,1.03232,0.9139,0.86805,0.92614,0.75336,0.77802,0.4209,1.02904,5.41762e-06,5.41762e-06,5.41762e-06
131,1750.84,0.84252,0.58443,1.03916,0.92157,0.86348,0.92722,0.75443,0.78039,0.42184,1.02906,5.23096e-06,5.23096e-06,5.23096e-06
132,1763.71,0.828,0.57756,1.02205,0.92115,0.86266,0.93067,0.75942,0.77498,0.41981,1.02586,5.04702e-06,5.04702e-06,5.04702e-06
133,1777.18,0.85807,0.59352,1.04103,0.90918,0.86998,0.93015,0.75682,0.77716,0.41952,1.02508,4.86585e-06,4.86585e-06,4.86585e-06
134,1790.14,0.83854,0.57712,1.02275,0.9224,0.86039,0.92935,0.7582,0.7737,0.41831,1.02374,4.6875e-06,4.6875e-06,4.6875e-06
135,1803.11,0.82756,0.5695,1.01884,0.93549,0.85269,0.93044,0.75763,0.77427,0.41832,1.02543,4.51203e-06,4.51203e-06,4.51203e-06
